epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6934,0.9683,2.57764,1.39192,0.00333,1,0.82833,0.58103,0.38496,3.12309,1.47701,0.00012,0.00012,0.00012
2,49.3642,0.67647,1.98505,1.22032,0.00333,1,0.945,0.74833,0.38454,2.93143,1.27572,0.000254852,0.000254852,0.000254852
3,73.2647,0.50179,1.22708,1.06224,0.00333,1,0.995,0.8042,0.81454,3.03649,1.92577,0.00038416,0.00038416,0.00038416
4,97.3378,0.53432,1.14837,1.09388,1,0.75235,0.995,0.75835,0.59026,2.50434,1.60128,0.000507924,0.000507924,0.000507924
5,120.937,0.52024,0.96947,1.05095,0.99515,1,0.995,0.46783,1.7447,3.4127,2.8615,0.000626144,0.000626144,0.000626144
6,144.479,0.55421,0.93413,1.09554,0.74261,1,0.845,0.47206,1.32441,3.1624,2.5542,0.00073882,0.00073882,0.00073882
7,168.211,0.56157,0.93158,1.11256,0.86103,1,0.995,0.65274,1.03083,2.3856,2.40445,0.000845952,0.000845952,0.000845952
8,193.389,0.59387,0.96969,1.15505,0.54798,1,0.76286,0.46025,1.04116,2.73347,2.29527,0.00094754,0.00094754,0.00094754
9,219.457,0.57883,0.94101,1.09249,0.93692,1,0.995,0.65061,1.26182,2.63576,2.64894,0.00104358,0.00104358,0.00104358
10,243.534,0.54623,0.87864,1.07549,1,0.97369,0.995,0.64339,0.94057,2.37159,1.9999,0.00113408,0.00113408,0.00113408
11,267.253,0.55761,0.81198,1.07288,0.84985,1,0.995,0.84535,0.59033,2.15539,1.50074,0.00121904,0.00121904,0.00121904
12,290.892,0.47288,0.74525,1.00374,0.79082,1,0.796,0.44569,1.70739,3.70905,3.35299,0.00129845,0.00129845,0.00129845
13,314.564,0.53101,0.79475,1.08069,0.77371,1,0.945,0.73096,0.82975,1.70439,2.51146,0.00137232,0.00137232,0.00137232
14,338.281,0.48758,0.70042,1.02689,0.9879,1,0.995,0.82876,0.72744,1.47075,1.93029,0.00144064,0.00144064,0.00144064
15,361.985,0.45963,0.65475,1.05153,0.95235,0.75,0.88786,0.61542,0.68935,1.96013,1.55634,0.0014456,0.0014456,0.0014456
16,385.988,0.48051,0.66272,1.02156,0.76748,1,0.945,0.64067,0.88439,1.81499,1.80112,0.001406,0.001406,0.001406
17,410.42,0.47628,0.653,1.02294,0.95148,1,0.995,0.66585,1.14191,1.96388,1.97681,0.0013664,0.0013664,0.0013664
18,434.357,0.44747,0.61529,1.03198,0.9659,1,0.995,0.77706,0.94774,1.60556,1.86688,0.0013268,0.0013268,0.0013268
19,457.982,0.43337,0.59436,1.02261,0.89692,1,0.995,0.90166,0.55589,1.27224,1.55889,0.0012872,0.0012872,0.0012872
20,481.638,0.43362,0.57319,0.98905,0.79618,1,0.995,0.804,0.7273,1.39288,1.67051,0.0012476,0.0012476,0.0012476
21,505.243,0.42997,0.57543,1.01178,0.89403,1,0.995,0.89506,0.49787,1.04778,1.4515,0.001208,0.001208,0.001208
22,528.878,0.47408,0.594,1.03047,0.96498,1,0.995,0.92003,0.47433,1.20332,1.44351,0.0011684,0.0011684,0.0011684
23,552.478,0.4479,0.56352,0.99493,0.97855,1,0.995,0.93671,0.48967,1.44622,1.35673,0.0011288,0.0011288,0.0011288
24,576.328,0.43695,0.5333,1.00265,0.98786,1,0.995,0.95753,0.35547,0.86094,1.13338,0.0010892,0.0010892,0.0010892
25,600.029,0.41933,0.53576,0.99264,0.98841,1,0.995,0.95753,0.29884,0.6772,1.07748,0.0010496,0.0010496,0.0010496
26,623.693,0.3925,0.50511,0.99178,0.98171,1,0.995,0.96378,0.38434,0.96544,1.16454,0.00101,0.00101,0.00101
27,647.345,0.4063,0.4776,0.98332,0.97463,1,0.995,0.8206,0.4724,1.36819,1.32643,0.0009704,0.0009704,0.0009704
28,670.927,0.37501,0.47106,0.97768,0.98035,1,0.995,0.95753,0.43294,1.11856,1.25285,0.0009308,0.0009308,0.0009308
29,694.47,0.40164,0.47979,1.00666,0.98384,1,0.995,0.85807,0.42185,0.91104,1.26986,0.0008912,0.0008912,0.0008912
30,718.039,0.37346,0.45369,0.96619,0.98733,1,0.995,0.84538,0.57998,0.91973,1.43393,0.0008516,0.0008516,0.0008516
31,741.595,0.37391,0.45933,0.96212,0.89388,1,0.995,0.90371,0.47772,1.0915,1.28396,0.000812,0.000812,0.000812
32,765.107,0.36489,0.46341,0.97104,0.7774,1,0.945,0.67962,0.66176,1.64594,1.3465,0.0007724,0.0007724,0.0007724
33,788.637,0.36883,0.46276,0.94834,1,0.97442,0.995,0.66115,0.73554,1.68038,1.45629,0.0007328,0.0007328,0.0007328
34,812.388,0.3396,0.43124,0.94178,1,0.97788,0.995,0.60498,0.79089,1.53078,1.51881,0.0006932,0.0006932,0.0006932
35,836.064,0.35859,0.45214,0.96782,0.79247,0.96233,0.945,0.80054,0.63893,1.13913,1.50885,0.0006536,0.0006536,0.0006536
36,859.993,0.3391,0.43351,0.96477,0.99082,1,0.995,0.86193,0.60073,0.85896,1.43229,0.000614,0.000614,0.000614
37,883.759,0.36299,0.4403,0.96036,0.98891,1,0.995,0.93255,0.55354,0.87197,1.39481,0.0005744,0.0005744,0.0005744
38,907.826,0.33937,0.42229,0.95922,0.98818,1,0.995,0.995,0.4121,0.72888,1.20249,0.0005348,0.0005348,0.0005348
39,931.674,0.3138,0.3956,0.94766,0.98769,1,0.995,0.995,0.27975,0.61605,1.05116,0.0004952,0.0004952,0.0004952
40,955.69,0.34183,0.39444,0.9492,0.98725,1,0.995,0.95755,0.23972,0.56887,1.00087,0.0004556,0.0004556,0.0004556
41,980.132,0.24349,0.80737,0.96008,0.98837,1,0.995,0.995,0.26933,0.60472,1.02777,0.000416,0.000416,0.000416
42,1003.83,0.21116,0.54464,0.93796,0.98929,1,0.995,0.88884,0.52574,0.79266,1.29708,0.0003764,0.0003764,0.0003764
43,1027.52,0.23239,0.55914,0.94611,0.98953,1,0.995,0.84514,0.50708,0.83895,1.3536,0.0003368,0.0003368,0.0003368
44,1052.06,0.20397,0.5475,0.94572,0.98966,1,0.995,0.90139,0.48941,0.74732,1.3564,0.0002972,0.0002972,0.0002972
45,1076.72,0.20963,0.48651,0.95455,0.98957,1,0.995,0.92014,0.49156,0.705,1.34753,0.0002576,0.0002576,0.0002576
46,1101.46,0.18922,0.44274,0.94101,0.98957,1,0.995,0.94509,0.45029,0.83446,1.20982,0.000218,0.000218,0.000218
47,1125.44,0.19356,0.44824,0.93912,0.98968,1,0.995,0.97005,0.34951,0.68538,1.08378,0.0001784,0.0001784,0.0001784
48,1148.88,0.18555,0.41814,0.93616,0.98954,1,0.995,0.97005,0.32741,0.61911,1.07837,0.0001388,0.0001388,0.0001388
49,1172.41,0.19398,0.43447,0.92387,0.9895,1,0.995,0.97005,0.32362,0.56233,1.06834,9.92e-05,9.92e-05,9.92e-05
50,1195.95,0.16918,0.42582,0.91526,0.98955,1,0.995,0.97005,0.29498,0.52791,1.03677,5.96e-05,5.96e-05,5.96e-05
