epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,2339.81,0.33745,0.32691,0.97884,0.95117,0.99889,0.99018,0.90225,0.57626,0.37021,1.24109,0.000878,0.000878,0.000878
36,2387.02,0.34077,0.36075,0.97902,0.97191,0.97436,0.99015,0.89213,0.46399,0.49969,1.0377,0.000845,0.000845,0.000845
37,2432,0.35376,0.33244,0.97926,1,0.99779,0.995,0.93951,0.37639,0.28693,0.96925,0.000812,0.000812,0.000812
38,2480.81,0.34581,0.31603,0.98181,0.97117,1,0.99375,0.93891,0.4,0.33128,1.01312,0.000779,0.000779,0.000779
39,2527.97,0.33071,0.3105,0.96659,0.9919,0.97436,0.99402,0.94131,0.38691,0.33224,0.9947,0.000746,0.000746,0.000746
40,2579.01,0.33487,0.31459,0.96536,0.99914,0.97436,0.99,0.93448,0.43183,0.42846,1.05665,0.000713,0.000713,0.000713
41,2630.76,0.30972,0.29681,0.96159,0.99848,1,0.995,0.94106,0.40611,0.26302,1.05365,0.00068,0.00068,0.00068
42,3321,0.3088,0.30335,0.96925,0.99712,1,0.995,0.92266,0.4876,0.32764,1.10964,0.000647,0.000647,0.000647
43,3547.21,0.29968,0.28794,0.96088,0.99835,1,0.995,0.9577,0.41293,0.30535,1.0475,0.000614,0.000614,0.000614
44,3604.59,0.30451,0.30091,0.9535,0.9982,1,0.995,0.95961,0.36902,0.25164,1.00023,0.000581,0.000581,0.000581
45,3670.02,0.30582,0.28615,0.96339,0.99824,1,0.995,0.96333,0.37006,0.248,0.97666,0.000548,0.000548,0.000548
46,3723.02,0.29091,0.27667,0.94948,0.99843,1,0.995,0.93777,0.45478,0.27374,1.13536,0.000515,0.000515,0.000515
47,3785.83,0.29042,0.28016,0.94917,0.99792,1,0.995,0.93264,0.42031,0.25309,1.08297,0.000482,0.000482,0.000482
48,3838.68,0.28604,0.26529,0.94369,0.99845,1,0.995,0.94793,0.39923,0.23918,1.08453,0.000449,0.000449,0.000449
49,3905.37,0.28245,0.26375,0.95083,0.99841,1,0.995,0.94734,0.39527,0.24872,1.08302,0.000416,0.000416,0.000416
50,3974.53,0.30805,0.29905,0.98094,0.99858,1,0.995,0.96577,0.37576,0.26097,1.0547,0.000383,0.000383,0.000383
51,4054.27,0.22329,0.24951,0.9304,0.99803,1,0.995,0.9397,0.46946,0.29333,1.19772,0.00035,0.00035,0.00035
52,4112.09,0.22433,0.2203,0.92304,0.99859,1,0.995,0.92977,0.46899,0.3658,1.08234,0.000317,0.000317,0.000317
53,4181.03,0.20781,0.18658,0.90808,0.99856,1,0.995,0.95613,0.39095,0.24034,1.03621,0.000284,0.000284,0.000284
54,4245.28,0.20179,0.18889,0.90943,0.99859,1,0.995,0.95988,0.43783,0.29801,1.08893,0.000251,0.000251,0.000251
55,4312.68,0.21671,0.18121,0.93747,0.99859,1,0.995,0.96892,0.35857,0.2453,0.96328,0.000218,0.000218,0.000218
56,4396.14,0.18471,0.169,0.89333,0.99861,1,0.995,0.96399,0.40685,0.29028,1.03439,0.000185,0.000185,0.000185
57,4476.32,0.1803,0.16682,0.909,0.99864,1,0.995,0.95574,0.39662,0.26078,1.0245,0.000152,0.000152,0.000152
58,4568.22,0.17642,0.15665,0.90515,0.99865,1,0.995,0.96939,0.38809,0.27503,1.02423,0.000119,0.000119,0.000119
59,4813.79,0.17685,0.15247,0.90089,0.99866,1,0.995,0.96618,0.36856,0.25599,0.99356,8.6e-05,8.6e-05,8.6e-05
60,4893.58,0.17443,0.17289,0.89645,0.99866,1,0.995,0.97706,0.3738,0.25569,1.00342,5.3e-05,5.3e-05,5.3e-05
