epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4177,0.70522,1.76407,1.2461,0.8682,0.79487,0.91612,0.75003,0.60619,2.60502,1.35349,0.00056,0.00056,0.00056
2,83.1442,0.62803,1.17616,1.16551,0.7733,0.96225,0.92594,0.67629,1.08013,2.24225,2.36449,0.00112119,0.00112119,0.00112119
3,112.25,0.63299,1.05205,1.15257,0.51378,0.71795,0.62201,0.26015,1.34619,5.73388,2.61022,0.00166324,0.00166324,0.00166324
4,145.027,0.69262,0.97261,1.19949,0.57008,0.76923,0.70937,0.47936,1.25643,3.05486,3.04358,0.001901,0.001901,0.001901
5,179.056,0.66463,0.84916,1.1727,0.74202,0.66667,0.66284,0.3655,1.5572,1.87748,3.06013,0.001868,0.001868,0.001868
6,215.451,0.61181,0.77419,1.15815,0.86035,0.92308,0.90464,0.6838,1.01602,1.18899,2.87559,0.001835,0.001835,0.001835
7,255.686,0.60116,0.72264,1.12939,0.83758,0.66129,0.70244,0.54333,1.04921,1.19808,2.37386,0.001802,0.001802,0.001802
8,296.832,0.59417,0.69552,1.14211,0.79317,0.58974,0.6558,0.4533,1.31426,1.46452,2.15254,0.001769,0.001769,0.001769
9,337.309,0.56156,0.62094,1.09024,0.7538,0.64103,0.65653,0.48029,1.24236,1.20789,2.40624,0.001736,0.001736,0.001736
10,380.929,0.56232,0.67887,1.11343,0.95618,0.61538,0.64305,0.50813,0.75976,0.74405,1.61018,0.001703,0.001703,0.001703
11,433.178,0.52107,0.56379,1.07301,1,0.56375,0.58305,0.48909,0.69756,0.74235,1.44323,0.00167,0.00167,0.00167
12,480.997,0.5512,0.56896,1.10202,0.92466,0.64103,0.663,0.55513,0.73068,0.76052,1.36761,0.001637,0.001637,0.001637
13,540.008,0.52608,0.53423,1.08063,0.83067,0.38462,0.37735,0.26123,0.86949,0.79859,1.67242,0.001604,0.001604,0.001604
14,584.455,0.53331,0.53941,1.09124,0.98775,0.38462,0.4234,0.31975,0.97191,0.81943,1.62042,0.001571,0.001571,0.001571
15,632.474,0.49044,0.50026,1.07285,0.99504,0.41026,0.42972,0.32601,0.9216,0.8721,1.67507,0.001538,0.001538,0.001538
16,681.678,0.5066,0.50693,1.071,0.94689,0.45738,0.47633,0.36347,1.03424,0.86396,2.16244,0.001505,0.001505,0.001505
17,732.9,0.48834,0.45945,1.05097,0.96196,0.69231,0.69665,0.57915,0.67739,0.61849,1.42859,0.001472,0.001472,0.001472
18,793.648,0.49218,0.49038,1.07748,0.99663,0.61538,0.61825,0.54672,0.61312,0.45999,1.32391,0.001439,0.001439,0.001439
19,850.095,0.46609,0.4557,1.04025,0.95626,0.56067,0.56781,0.45974,0.64985,0.64231,1.26895,0.001406,0.001406,0.001406
20,904.127,0.4513,0.4485,1.02989,0.94939,0.5641,0.5723,0.49744,0.64027,0.62375,1.33585,0.001373,0.001373,0.001373
21,1567.38,0.44917,0.46575,1.02825,0.96149,0.48718,0.49061,0.43041,0.56052,0.46428,1.29885,0.00134,0.00134,0.00134
22,1614.01,0.42517,0.41842,1.02288,1,0.66428,0.67104,0.58196,0.56677,0.48663,1.23901,0.001307,0.001307,0.001307
23,1661.7,0.45131,0.44525,1.04091,0.96159,0.64189,0.73216,0.61683,0.64776,0.61495,1.21278,0.001274,0.001274,0.001274
24,1704.91,0.42048,0.42548,1.01722,0.97495,0.99797,0.99375,0.89144,0.56663,0.43538,1.30197,0.001241,0.001241,0.001241
25,1746.82,0.40189,0.39261,1.00457,0.97126,0.97436,0.98351,0.85145,0.63176,0.45274,1.43434,0.001208,0.001208,0.001208
26,1793.05,0.40773,0.38259,1.01802,0.97042,0.84138,0.87295,0.81691,0.5066,0.5992,1.16753,0.001175,0.001175,0.001175
27,1841.06,0.40699,0.38501,1.00985,0.97091,0.94872,0.98797,0.89946,0.53152,0.4715,1.24252,0.001142,0.001142,0.001142
28,1892,0.37404,0.37002,0.98292,0.99819,0.97436,0.9916,0.89075,0.58206,0.50891,1.2537,0.001109,0.001109,0.001109
29,1950.93,0.39203,0.38886,1.00015,0.96063,0.89744,0.97059,0.86943,0.50855,0.55985,1.09071,0.001076,0.001076,0.001076
30,1998.12,0.38671,0.35973,1.00093,1,0.99883,0.995,0.91789,0.4663,0.36036,1.08589,0.001043,0.001043,0.001043
31,2058.54,0.36579,0.34196,0.98982,0.99766,1,0.995,0.91136,0.49027,0.31873,1.14433,0.00101,0.00101,0.00101
32,2110.32,0.36052,0.33735,0.9866,0.99782,1,0.995,0.92892,0.4233,0.32663,1.05036,0.000977,0.000977,0.000977
33,2209.02,0.35941,0.34304,0.99094,0.99646,0.97436,0.99357,0.94101,0.42124,0.40256,1.0588,0.000944,0.000944,0.000944
34,2291.05,0.34729,0.3261,0.98258,1,0.99441,0.995,0.93295,0.42275,0.36483,1.02902,0.000911,0.000911,0.000911
